source	target	source_id	target_id	reasoning	is_correct	questionable
before packaging	Packaging	G11C 2229/746	10010583.10010682.10010697.10010699	Probably not a match – since it is split into after and before packaging	0	?
agriculture	Agriculture	G16Y 10/05	10010405.10010476.10010480	CPC is about internet of things, while CCS is about CS agriculture applications in general – see CPC ascendant “information and communication technologies specifically adapted for internet of things”	0	
transportation	Transportation	G16Y 10/40	10010405.10010481.10010485	CPC is about IOT, while CCS is about operations research	0	
chemistry	Chemistry	G16Y 10/90	10010405.10010432.10010436	Analogously as with transportation	0	
battery	Batteries	Y10S 164/01	10010583.10010662.10010663.10010664	CPC is about metal founding, while CCS is about the energy notion behind batteries.	0	
medical record	Medical records	Y10S 283/90	10003456.10003462.10003602.10003603	Same notion	1	
wide area network	Wide area networks	Y10S 370/901	10003033.10003083.10003084.10003088	Same notion	1	
local area network	Local area networks	Y10S 370/908	10003033.10003083.10003084.10003086	Same notion	1	
intellectual property	Intellectual property	Y10S 707/923	10003456.10003462.10003463	CPC is only about intellectual property in conjunction with databases, while CCS is about the general notion of intellectual property	0	
network	Networks	Y10S 707/959	10003033	CPC is too granular	0	
version management	Version management	Y10S 707/99954	10002951.10003152.10003520.10003184	Same notion	1	
garbage collection	Garbage collection	Y10S 707/99957	10011007.10010940.10010941.10010949.10010950.10010954	"CPC is about file or database maintenance, while CCS is about memory management.
Thus, probably not a match."	0	
printed circuit board	Printed circuit boards	Y10S 83/9291	10010583.1001058	CPC is not about computing hardware	0	
electronic funds transfer	Electronic funds transfer	Y10S 902/00	10002951.10003260.10003282.10003550.10003554	Probably same notion, but not 100% sure as the concept differ in its depth and, consequently, it is hard to determine the equivalence based on ascendants & descendants.	1	?
having digital flow controller	Information flow control	Y10T 137/8729	10002978.10003006.10011608	CPC is not about security	0	
having digital flow controller	Information flow control	Y10T 137/87298	10002978.10003006.10011608	CPC is not about security	0	
